카테고리,세부 항목,내용
상품 개요,상품 특징,병역의무수행자들의 전역 후 목돈 마련을 위한 고금리 자유적립식 정기적금 상품
상품 개요,출시일,2018년 8월 29일
상품 개요,이자 혜택,만기 해지 시 이자소득 비과세 및 1% 이자지원금 지급
상품 개요,매칭 지원금,"정부에서 지급, 병역법 시행령 제158조의2에 따라 결정"
가입 정보,가입 대상,"현역병, 상근예비역, 의무경찰, 해양의무경찰, 의무소방원, 사회복무요원, 대체복무요원"
가입 정보,가입 방법,소속기관에서 '장병내일준비적금' 가입자격 확인서를 발급받아 은행에서 가입
가입 정보,가입 기관,"국방부, 병무청, 경찰청, 해양경찰청, 소방청, 법무부"
적금 정보,납입 한도,"은행별 월 20만원, 개인별 최대 월 40만원"
적금 정보,가입 기간,최소 1개월 ~ 최대 24개월 (의무복무 기간 내로 제한)
적금 정보,이자 지급 방식,만기일시지급식
적금 정보,부가 서비스,은행별 추가 부가서비스 제공
가입·해지 절차,가입 절차,국방부·병무청 등에서 가입자격 확인서를 발급받아 은행에서 가입
가입·해지 절차,해지 절차,"만기 해지 시 신분증과 필요서류 지참 후 은행에서 적립금, 이자, 지원금 수령"
자격 확인서 발급,발급 기관,"국방부, 병무청, 경찰청, 해양경찰청, 소방청, 법무부"
자격 확인서 발급,발급 방법,기관별 온라인 및 오프라인 신청
자격 확인서 발급,문서 수령 방법,각 기관 및 담당자를 통해 직접 수령
은행 연락처,NH농협은행,"1661-3000, 1522-3000"
은행 연락처,iM뱅크(구 대구은행),"1566-5050, 1588-5050"
은행 연락처,신한은행,1577-8000
은행 연락처,BNK부산은행,1588-6200
은행 연락처,우리은행,1588-5000
은행 연락처,광주은행,1600-4000
은행 연락처,하나은행,1599-1111
은행 연락처,제주은행,1588-0079
은행 연락처,IBK기업은행,1566-2566
은행 연락처,전북은행,1588-4477
은행 연락처,KB국민은행,1588-9999
은행 연락처,BNK경남은행,"1600-8585, 1588-8585"
은행 연락처,Sh수협은행,1588-1515
은행 연락처,우정사업본부,"1588-1900, 1599-1900"
