은행,제공 금리(%),,,,,은행 확인일,우대금리 조건,부가서비스,중도해지금리,만기후금리
,1개월 이상 ~ 3개월 미만,3개월 이상 ~ 6개월 미만,6개월 이상 ~ 1년 미만,1년 이상 ~ 1년 6개월 미만,1년 6개월 이상 ~ 만기,,,,,
NH농협은행,2.70,2.80,3.00,4.00,5.00,25/02/12,"▷ (적금 가입월~만기 전전월말) 은행에서 발급한 NH농협 개인신용·체크카드(채움) 월평균 10만원이상 이용실적 : 0.20%p<br />
<br />
▷ (적금 가입월~만기 전전월말) 농협은행 주택청약종합저축(청년우대형 포함) 가입 및 5회이상 납입실적과 보유 시 : 0.30%p","▷ 군복무 기간 중‘NH농협손해보험 단체상해보험 내 군인(병) 영외 체류 기간 중 상해 특별약관’에 대한 무료가입 서비스 제공<br />
 - 대상 : 신규가입 초입금 20만원(보험금 청구 시 적금 매달 1만원이상 납입실적 有)<br />
 - 보험보장금액 : 1천만원<br />
 - 보험개시 및 기간 : 적금 가입 다음날 00시부터 전역(소집해제)전일까지<br />
 - 보장기간 및 범위 : 군 복무 기간 중 영외 체류 기간동안 상해 발생 시(영외 체류는 휴가나 외박, 외출에 해당되며 군복무에 의한 영외체류는 제외)","▷ 1개월미만 : 0.1% <br />
▷ 3개월미만 : 0.15% <br />
▷ 6개월미만 : 중도해지 기준금리*20% <br />
▷ 9개월미만 : 중도해지 기준금리*30% <br />
▷ 12개월미만 : 중도해지 기준금리*40% <br />
▷ 18개월미만 : 중도해지 기준금리*45% <br />
▷ 24개월미만 : 중도해지 기준금리*50% <br />
* (중도해지기준금리) 가입일 당시 고시된 자유로우대적금 기본금리","▷ 만기후 1년 이내 : 만기시점 계약기간별 기본금리의 1/2 <br />
▷ 만기후 1년 초과 : 보통예금 금리"
신한은행,3.50,3.50,4.00,4.50,5.00,25/01/20,"▷ 우대이자율: 최고 연 3.0%<br />
※계약기간 6개월 미만 계좌에 대해서는 적용하지 않습니다.<br />
 ① 주택청약 우대이자율(연 0.30%)<br />
 ② 신한카드 우대이자율(연 0.20%)<br />
 ③ 자동이체 우대이자율(연 0.20%)<br />
 ④ 소득이체 우대이자율(연 0.50%)<br />
 ⑤ 기초생활수급자 (연 3.0%)","▷ 이 적금 만기일(전역일)로부터 1년간 입출금계좌 수수료 면제<br />
 ① 전자금융수수료 면제: 인터넷뱅킹, 폰뱅킹, 모바일뱅킹의 다른은행 이체수수료 면제<br />
 ② 자동화기기 수수료 면제<br />
    - 신한은행 기기를 이용한 신한은행 계좌의 현금인출수수료 면제<br />
    - 신한은행 기기를 이용한 계좌의 다른은행 이체수수료 월 10회 면제<br />
    - 다른은행 기기를 이용한 신한은행 계좌의 현금인출수수료 월5회 면제","▷ 1개월 미만: 연 0.10%<br />
▷ 1개월 이상: 기본이자율 * (1-차감율) * 경과월수 / 계약월수<br />
    (단, 연 0.10% 미만으로 산출될 경우 연 0.10% 적용)<br />
   ※ 경과월수별 차감율 (2020.6.22 현재)<br />
      1개월 이상 80%<br />
      3개월 이상 70%<br />
      6개월 이상 30%<br />
      9개월 이상 20%<br />
      11개월 이상 10%","▷ 만기후 1개월이내: 만기일 당시의 가입기간에 해당하는 일반정기적금 연 이자율의 1/2(단,최저금리 0.10%)<br />
▷ 만기후 1개월초과 6개월이내: 만기일 당시의 가입기간에 해당하는 일반정기적금 연 이자율 1/4(단,최저금리 0.10%)<br />
▷ 만기후 6개월 초과: 연 0.10%<br />
※ 이자율이 변경될 경우 기간 구분하여 변경일부터 변경된 이자율 적용"
우리은행,3.70,3.70,4.00,4.30,5.00,25/01/20,"▷ 아래의 조건을 충족하는 경우 최대 연 1.0%p 우대금리 적용<br />
□ 단, 계약기간 3개월 미만인 경우 최대 연 0.4%p 적용 (아래 1, 2 항목 미적용)<br />
<br />
 (1) 우리은행 입출식 계좌에서 매월 자동이체를 통해 적립 - 연 0.4%p<br />
 (2) 우리카드 결제계좌를 우리은행 입출식 계좌로 지정한 후,<br />
     매월 결제실적 보유 - 연 0.2%p<br />
 (3) 적금 신규 시점에 우리은행에서 가입한<br />
     ""주택청약종합저축"" 보유 - 연 0.2%p<br />
 (4) 우리은행 마케팅 동의항목 중 휴대폰, SMS 중 하나 <br />
     이상을 동의한 후 만기 해지시점까지 유지 - 연 0.2%p","▷무료상해보험(DB손해보험 제공) 가입 서비스<br />
- 보장기간 : 적금 신규가입 다음 월 15일부터 21개월 동안 제공<br />
- 담보명 및 담보가입금액 : 현역군인상해사망후유장해(300만원), 상해흉터복원수술비(14만원), 화상진단비(20만원), 골절진단비(10만원), 의사상자상해위험(3억원)<br />
- 담보내용 : 상세 내용 상품설명서 참조<br />
<br />
▷금융수수료 면제 서비스<br />
- 우리은행 자동화기기 출금 수수료 무제한 면제<br />
- 다른은행 자동화기기 출금수수료 월 5회 면제<br />
<br />
▷적금 가입 시점에 조건 충족시 위 부대서비스 가능 : 상세 내용 상품명서 참조","▷ 신규일 당시 고시한 일반정기적금 중도해지이율 적용<br />
 (1) 신규시점 일반정기적금 약정이율 x 50% x (보유일수/계약일수)<br />
 (2) 단, 최저이율은 아래와 같음<br />
   - 1개월 미만 : 연 0.1%p<br />
   - 1개월 이상 ~ 3개월 미만 : 연 0.3%p<br />
   - 3개월 이상 : 연 0.5%p","▷ 만기일 당시 고시한 일반정기적금 만기 후 이율 적용<br />
  - 1개월 미만 : 만기시점 약정이율 x 50%<br />
  - 1개월 이상 ~ 3개월 미만 : 만기시점 약정이율 x 30%<br />
  - 3개월 이상 : 만기시점 약정이율 x 20%"
하나은행,3.50,3.50,3.50,4.00,5.00,25/01/20,"[우대금리 조건]<br />
▷ (우대금리 : 최고 연 3.0%)<br />
- 당행 주택청약종합저축 보유시 연 0.5% 우대<br />
- 당행 입출금통장을 통해 3회이상 군급여 입금실적이 있거나,하나카드사의 카드(신용/체크)결제 실적이 3회 이상 있을 경우 연 0.7%우대 (군급여이체 및 카드결제 실적은 월1회만 인정하며, 군급여이체실적은 국군재정관리단을 통한 이체에 한정)<br />
-이 예금 가입후 만기 전일까지 하나은행 영업점을 방문하여 `기초생활수급자`임을 증빙하는 서류를 제출하는 경우 연 1.8% 우대",▷ 당행 입출금 통장을 통한 군급여이체시 각종 금융수수료 면제,"▷ 1개월미만 :           연 0.1%<br />
▷ 1개월이상 3개월미만 : 연 0.15%<br />
▷ 3개월이상 6개월미만 : 연 0.2%<br />
▷ 6개월이상 : 가입 당시 기본금리*차등률(주1)*경과율(주2)<br />
   (단,해당금리가 연0.2%미만시 연0.2%적용)<br />
   (주1) 차등률:6개월 ~ 9개월 미만 경과시 : 60%적용<br />
                9개월이상 ~ 11개월 미만 경과시: 70%적용<br />
                11개월이상 경과시 : 90% 적용<br />
   (주2) 경과율:경과일수/계약일수<br />
         (단,경과일수는 계약일수를 초과할 수 없음)","▷ 1개월 이내 : 지급 당시 해당기간별 일반정기적금 기본금리의 1/2<br />
▷ 1개월 초과 : 지급 당시 해당기간별 일반정기적금 기본금리의 1/4<br />
※ 단, 계약기간이 6개월 미만인 경우, 지급당시 정기적금 6개월제 기본금리 기준 적용"
IBK기업은행,4.00,4.00,4.00,4.50,5.00,25/01/20,"- 당행 입출금식 계좌로 급여이체(10만원 이상) 6회 이상 실적이 있는 경우 : 연 0.5%p<br />
<br />
- 당행 주택청약종합저축(청년우대형 포함)을 신규한 경우 : 연 0.3%p<br />
<br />
- 당행 나라사랑카드를 1회 이상 사용한 경우 : 연 0.3%p<br />
<br />
- 기초생활수급자 : 연 3.0%p",1%이자지원금 및 3:1매칭지원금 정부지원,"신규가입일 당시 영업점 및 인터넷 홈페이지에 고시한 정기적금의 중도해지이율 적용<br />
-경과비율 10% 미만 : 가입일 현재 계약기간별 고시금리*5% -경과비율 10%이상 20%미만 : 가입일 현재 계약기간별 고시금리*10% -경과비율 20%이상 40%미만 : 가입일 현재 계약기간별 고시금리*20% -경과비율 40%이상 60%미만 : 가입일 현재 계약기간별 고시금리*40% -경과비율 60%이상 80%미만 : 가입일 현재 계약기간별 고시금리*60% -납입기간 경과비율 80%이상 : 가입일 현재 계약기간별 고시금리*80%","만기일 당시 영업점 및 인터넷 홈페이지에 고시한 정기적금의 만기후이자율 적용<br />
-만기 후 1개월 이내 : 만기일 당시 계약기간별 고시금리*50%<br />
-만기 후 1개월 초과 6개월 이내 : 만기일 당시 계약기간별 고시금리*30%<br />
-만기 후 6개월 초과 : 만기일 당시 계약기간별 고시금리*20%"
KB국민은행,3.50,3.50,3.50,4.00,5.00,25/01/20,"▷ 급여이체실적: 적금 신규월 초일부터 만기일 전전월 말일까지 계약기간(월환산)의 2/3 동안 급여이체 실적 매월 10만원 이상시 연 0.5%p <br />
▷ 주택청약종합저축계좌보유: 적금 만기일의 전전월 말일 기준으로,KB국민은행 주택청약종합저축(청년우대형주택청약종합저축 포함)보유시 연0.2%p ▷ 나라사랑카드: 적금 신규월 초일부터 만기일 기준 전전월 말일까지 KB국민나라사랑카드 이용실적 1회이상 발생하고, 보유시 연0.5%p ▷ 기초생활수급자: 적금 만기일의 전전월 말일까지 증빙서류 영업점 제출시 연3.0%p ▷단 최고는 연3.0%p임","▷ 당행 입출금 통장으로 급여이체시 당·타행 이체 및 출금수수료 면제<br />
   ※ 국군재정관리단 급여이체 등","▷예치기간1개월미만:0.1 ▷예치기간1개월이상~3개월미만:기본이율x50%x경과월수/계약월수(단,최저금리는0.1) ▷예치기간3개월이상~6개월미만:기본이율x50%x경과월수/계약월수(단,최저금리는0.1) ▷예치기간6개월이상~8개월미만:기본이율x60%x경과월수/계약월수(단,최저금리는0.2) ▷예치기간8개월이상~10개월미만:기본이율x70%x경과월수/계약월수(단,최저금리는0.2) ▷예치기간10개월이상~11개월미만:기본이율x80%x경과월수/계약월수(단,최저금리는0.2) ▷예치기간11개월이상:기본이율x90%x경과월수/계약월수(단,최저금리는0.2)","▷ 경과기간 만기후 1개월이내 : 기본이율 x 50%<br />
▷ 경과기간 만기후 1개월 초과 ~ 3개월 이내 : 기본이율 x 30%<br />
▷ 경과기간 만기후 3개월 초과 : 0.1"
Sh수협은행,3.50,3.50,4.00,4.50,5.00,25/01/20,우대금리 없음,"▷ 이 적금 가입기간 동안 당행 보유 입출금통장을 통해 거래시<br />
1. 전자금융 당ㆍ타행 이체수수료 면제(자동이체 및 상담원을 통한 이체 제외)<br />
2. 당ㆍ타행 자동화기기 현금인출수수료 면제(제휴ATM기 제외)","▷ 1개월미만:0.1% ▷ 1개월이상~3개월미만:0.1%<br />
▷ 3개월이상~6개월미만:(기본금리x3/약정기간)x50% <br />
▷ 6개월이상~10개월미만:(기본금리x경과월수/약정기간)x60% <br />
▷ 10개월이상~11개월미만:(기본금리x경과월수/약정기간)x80% <br />
▷ 11개월이상:(기본금리x경과월수/약정기간)x90% <br />
(3개월이상 최저금리:0.1%)<br />
* 세전 연이자율 기준<br />
* 기본금리 : 신규가입일 당시 고시된 계약기간별 금리(우대금리 제외)<br />
* 약정기간 : 최초가입시 약정한 계약기간<br />
* 가입일 당시 은행이 고시한 중도해지금리를 적용","▷ 만기후 12개월이하:만기당시 계약기간에 해당하는 상호부금 기본금리의 1/2<br />
▷ 만기후 12개월초과:만기당시 보통예금 기본금리<br />
*만기일 당시 은행이 고시한 만기 후 금리를 적용"
iM뱅크(구 대구은행),3.00,3.00,4.00,4.50,5.00,25/01/20,"▷우대이자율(최고 연0.50%p)<br />
·이자율 결정일: 가입일<br />
-상품 가입 전 당행에서 가입한 주택청약상품 보유 고객 연0.20%p<br />
·이자율 결정일: 만기일<br />
-다음의 두 가지 요건을 모두 충족한 고객 연0.30%p<br />
① 만기일에 당행 체크카드 보유<br />
② 가입일로부터 만기일 전일까지 당행 입출금이자유로운예금을 결제계좌로한 당행 체크카드 결제 실적 보유 단, 승인 취소 건은 결제실적에서 제외<br />
※모든 우대이자율은 2024년 6월 3일 이후 가입한 고객에 한하여 적용하며, 기존 가입고객은 소급 적용이 불가합니다.","▷ 이 적금의 만기 해지 후 1년 이내, 당행 영업점을 통한 외화 환전·송금 거래에 한함.<br />
① 외국통화 매매 시 : USD·JPY·EUR 50% 우대, CNY30% 우대<br />
② 외화송금수수료(해외로 보낼 때) : 50% 우대<br />
※다른 외환우대 기준에 따른 우대내용과 중복될 경우, 그 중 유리한 1가지 우대기준에 따른 우대내용 적용","▷ 입금일로부터 20% 미만 경과된 월부금 : 기본이자율 X 10%<br />
▷ 입금일로부터 20%~40% 미만 경과된 월부금 : 기본이자율 X 20%<br />
▷ 입금일로부터 40%~60% 미만 경과된 월부금 : 기본이자율 X 40%<br />
▷ 입금일로부터 60%~80% 미만 경과된 월부금 : 기본이자율 X 60%<br />
▷ 입금일로부터 80%~100% 미만 경과된 월부금 : 기본이자율 X 80%","▷ 만기 후 1개월 미만 경과 : 약정이자율 X 50%<br />
▷ 만기 후 3개월 미만 경과 : 약정이자율 X 25%<br />
▷ 만기 후 3개월 이상 경과 : 약정이자율 X 10%"
BNK부산은행,3.00,3.00,3.50,4.00,5.00,25/01/20,▷ 만기 시 본인명의 주택청약종합저축 보유 : 0.10%,▷ 해당사항 없음,"▷ 가입일 당시 상품별 기본이율 x 적용율 x (경과일수/계약일수)<br />
* 적용율 <br />
-6개월미만 40%<br />
-6개월이상~9개월미만 70%<br />
-9개월이상~11개월미만 80%<br />
-11개월이상 90%<br />
*단, 최저이율 0.01% 적용","▷ 만기후 1년이내 : 지급일 당시 가입기간별 기본이율 x 1/2<br />
▷ 만기후 1년초과 : 지급일 당시 가입기간별 기본이율 x 1/5"
