은행,상품명,기본금리(단리정액 %),"최고금리(우대금리포함, 단리정액 %)",은행 최종제공일,만기 후 금리,가입방법,우대조건,가입 제한조건,가입대상,기타 유의사항,최고한도,전월취급평균금리(만기 12개월 기준),
KDB산업은행,KDB 기업정기적금,1.85,1.85,2025-02-10,"* 만기후 1년 이내 : 만기일 현재 고시된 일반 정기적금 해당예금기간 기본이율의 1/2
* 만기후 1년 초과 : 만기일 현재 고시된 보통예금 이율","영업점,인터넷뱅킹",해당없음,제한없음,"개인사업자, 조합(비영리법인 포함), 법인",해당없음,,1.92,
우리은행,우리SUPER주거래적금,2.60,4.00,2025-01-20,"만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기적금 금리","영업점,인터넷뱅킹,스마트뱅킹,전화(텔레뱅킹)","1. 거래실적 인정기간 동안 우리은행 입출식 계좌에서 아래 각 항목별 실적이 있는 월 수가 계약기간의 1/2이상인 경우
가. 급여/연금 이체 : 연 0.7%p
나. 공과금 자동이체 출금 실적 : 0.3%p
다. 우리카드사 신용/체크카드 결제금액 10만원 이상 출금 : 연 0.3%p
2. 우리은행 상품서비스 마케팅 동의 항목 중 전화(휴대폰) 및 SMS항목을 모두 동의한 후 만기해지시점까지 유지 : 연 0.1%p
3. 이 상품 가입 시 금리우대쿠폰을 적용한 경우",제한없음,실명의 개인,"1. 가입기간 : 1년/2년/3년
2. 가입금액 : 월 50만원 이내",,2.68,
우리은행,WON적금,3.40,3.60,2025-01-20,"만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기적금 금리","스마트뱅킹,전화(텔레뱅킹)","1. 아래 각 항(가, 나)의 조건을 충족하는 경우 합산 최대 연 0.2%p 우대
가. 이 적금을 우리꿈통장, WON통장에 연결하여 가입하는 경우 : 0.1%p
나. 우리 오픈뱅킹 서비스에 타행계좌가 등록되어 있는 경우 : 연 0.1%p",제한없음,실명의 개인,"1. 가입기간 : 1년
2. 가입금액 : 월 50만원 이내",,3.53,
SC제일은행,퍼스트가계적금,3.10,3.10,2025-01-20,"만기 후 1개월: 약정이율의 50%
만기 후 1개월 초과 1년 이내: 약정이율의 30%
만기 후 1년 초과: 약정이율의 10%","영업점,인터넷뱅킹,스마트뱅킹",없음,제한없음,개인(개인사업자 포함),해당없음,"10,000,000원",3.26,
하나은행,내맘적금,2.50,3.00,2025-01-20,"1개월 이내 : 지급당시 해당기간별 일반정기적금 기본금리 1/2
1개월 초과 : 지급당시 해당기간별 일반정기적금 기본금리 1/4","영업점,인터넷뱅킹,스마트뱅킹,전화(텔레뱅킹)",하나은행 통장에서 계약기간의 1/2이상 월부금 자동이체실적 충족 시 연 0.50%,제한없음,"실명의 개인
또는 개인사업자(1인 다계좌 가능)","1. 1인 다계좌 가능
2. 가입금액
   - 1천원 이상~1,000만원 이하(원단위)
3. 적립한도
    - 자유적립식 : 매월 1원 이상~1,000만원 이하(원단위)
    - 정액적립식 : 매월 1천원 이상~1,000만원 이하(원단위)","10,000,000원",2.73,
KB국민은행,KB내맘대로적금,2.55,3.15,2025-01-20,"- 1개월 이내 : 기본이율 X 50%
- 1개월 초과  ~ 3개월 이내 : 기본이율 X 30%
- 3개월 초과 : 0.1%","인터넷뱅킹,스마트뱅킹","신규 시 다음의 9가지 우대이율 항목 중 6가지를 자유롭게 선택하고, 아래 우대이율 적용조건 충족 시 항목 당 각 연0.1%p의 우대이율 적용
(최고 연0.6%p)
 - 우대이율 항목 : 급여이체, 카드결제계좌, 자동이체 저축, 아파트관리비 이체, KB스타뱅킹 이체, 장기거래, 첫 거래, 주택청약종합저축, 소중한 날",제한없음,실명의 개인 또는 개인사업자,인터넷뱅킹/KB스타뱅킹 전용상품,,2.86,
KB국민은행,KB국민프리미엄적금(정액),2.50,3.40,2025-01-20,"- 1개월 이내 : 기본이율 X 50%
- 1개월 초과  ~ 3개월 이내 : 기본이율 X 30%
- 3개월 초과 : 0.1%","영업점,인터넷뱅킹,스마트뱅킹,전화(텔레뱅킹)","① 단체가입/나라사랑/쿠폰 우대이율: 
    1년: 연 0.6%p, 2년: 연 0.7%p,
    3년: 연 0.9%p, 5년: 연 1.0%p 
   (중복적용되지 않음, 계약기간별차등적용)
② 교차거래 우대이율: 연 0.3%p",제한없음,실명의 개인,1인 1계좌,,2.71,
Sh수협은행,"Sh해양플라스틱Zero!적금
(정액적립식)",3.50,4.00,2025-01-20,"* 만기후 1년 이내
 - 만기당시 일반정기적금 
계약기간별 기본금리 1/2
* 만기후 1년 초과
 - 만기당시 보통예금 기본금리","영업점,인터넷뱅킹,스마트뱅킹","* 최대우대금리:0.5%
1. 해양플라스틱감축서약 : 0.1% (신규시) 
2. 봉사활동 또는 상품홍보 : 0.2% (만기시) 
3. 입출금통장 최초신규 : 0.2% (만기시)
4. 자동이체 출금실적 : 0.2% (만기시)
 - 수협신용카드 / 당행 펀드 / 수협체크카드
※단위:연%p",제한없음,실명의 개인,"- 1인 1계좌 
- 월 가입한도 : 100만원","1,000,000원",3.60,
iM뱅크(구 대구은행),내손안에 적금,3.06,3.61,2025-01-20,"만기 후 1개월 미만 경과: 약정이자율 x 50%
만기 후 3개월 미만 경과: 약정이자율 x 25%
만기 후 3개월 이상 경과: 약정이자율 x 10%",스마트뱅킹,"* 최고우대금리 : 연0.55%p
 - 당행 인터넷/모바일뱅킹을 통하여 최초로 적립식예금 가입 시 : 연0.20%p
 - 상품 가입 전 최근 3개월 이내 당행 인터넷/모바일뱅킹을 통한 이체거래 3회 이상 : 연0.10%p
- 상품 가입 전 수수료우대 통장 보유 고객 : 연0.20%p
* 해당 상품을 모바일뱅킹을 통해 가입 : 연0.05%p",제한없음,실명의 개인,1계좌당 가입한도 : 월 100만원(최저 10만원 이상),"1,000,000원",3.43,
BNK부산은행,펫 적금,2.55,3.45,2025-01-20,"- 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50%
- 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20%","영업점,스마트뱅킹","*우대이율 6개월제 최대 0.55%, 12개월제 최대 0.90%",제한없음,실명의 개인고객(1인 1계좌),"1. 가입한도: 월 1만원 이상 50만원 이하 원단위
2. 정기적립식","500,000원",2.57,
