은행,기본 금리(3년 고정),소득 우대금리,적금담보대가산금리(만기일시상환대출),적금담보대가산금리(한도대출),적금담보대가산금리(대출가능한도),은행별 우대금리,은행최종제공일,만기 후 금리,우대조건,기타 유의사항
NH농협은행,4.50,0.50,0.90,0.90,90,"우대금리 최대 1.00%p
(① 급여이체 0.50%p, ② 마케팅동의 0.20%p, ③ 카드실적 0.20%p, ④ 가입직전 1년간 농협은행 예적금(청약포함) 미보유 또는 NH청년희망적금 만기해지 고객 0.10%p)",2023-10-31,"- 만기 후 1년 이내 : 만기시점 계약기간별 자유로우대적금 기본이자율의 1/2
- 만기 후 1년 초과 : 보통예금 이자율
 ※ 만기일부터 지급일 전날까지의 기간에 대해 만기일 당시 공시한 만기 후 금리로 셈한 이자를 더하여 지급","① (가입월부터 만기 전전월말까지) 급여실적 12 / 36 / 50개월 이상 : 0.10 / 0.30 / 0.50%p
 - 급여실적은 농협은행 하나로가족고객제도에서 정하는 급여이체 기준을 준용하며, 월별 50만원 이상인 경우 인정, 비연속적인 경우도 포함
② (가입직전) 마케팅 전체동의 고객 : 0.20%p
③ (가입월부터 만기 전전월 말까지) 카드실적 월평균 20만원 이상 : 0.20%p
 - NH채움(개인신용/체크)카드 이용실적, 현금서비스 제외
④ (가입직전 1년간) 농협은행 예적금(청약포함) 미보유 또는 NH청년희망적금 만기해지 고객 : 0.10%p","상품가입 전 반드시 상품특약 및 설명서를 읽고 가입해주시기 바랍니다.
 ※ 적금담보대출 가산금리는 해당시점 적금 적용금리에 가산됩니다.
    (NH청년도약계좌담보대출은 9월 1일부터 실행 가능)"
신한은행,4.50,0.50,1.00,1.00,100,"우대금리 최대 1.00%p
(① 급여이체 0.30%p, ② 신한카드(신용/체크) 결제 0.30%p, ③ 첫 거래 우대 0.40%p)",2023-10-31,"- 만기후 1개월 이내 : 만기일 당시의 가입기간에 해당하는 일반정기적금 연 이자율의 1/2 (단, 최저금리 연 0.1%) - 만기후 1개월 초과 6개월 이내 : 만기일 당시의 가입기간에 해당하는 일반정기적금 연 이자율의 1/4 (단, 최저금리 연 0.1%) - 만기후 6개월 초과 : 연 0.1%","① [급여이체 우대] 이 상품 신규 후 본인명의 신한은행 입출금통장으로 급여이체 실적(건당 50만원 이상)이 30개월 이상인 경우
② [신한카드 결제 우대] 이 상품 신규 후 본인명의 신한은행 입출금통장으로 본인명의 신한카드(신용/체크) 결제실적이 30개월 이상 있는 경우 
③ [첫 거래 우대] 이 상품 신규 직전 1년간 신한은행 정기예금, 정기적금, 주택청약 상품이 없었던 고객이 이 상품을 신규한 경우",* 급여 및 카드결제는 30개월 연속하지 않아도 됨.
우리은행,4.50,0.50,1.00,1.00,95,"우대금리 최대 1.00%p
(① 급여이체 : 1.00%p, ② 예적금 미보유 : 0.50%p, ③ 카드결제(신용/체크) : 0.50%p)
* 만기해지 시점까지 적금 자동이체 및 마케팅 동의 유지 필수",2023-10-31,"만기일 당시 영업점 및 홈페이지 고시한 만기 후 이율 적용
1. 1개월 이내 : 만기시점 약정이율* X 50%
2. 1개월 초과 ~ 6개월 이내 : 만기시점 약정이율* X 30%
3. 6개월 초과 : 만기시점 약정이율* X 20%
* 약정이율 : 만기시점 일반정기적금 기본금리","① [급여이체] 우리은행 입출식 계좌로 급여이체 (월 50만원 이상, 가입기간의 1/2 이상) : 1.00%p
② [예적금 미보유] 직전 1년간 우리은행 정기예금 및 적금 미보유 :  0.50%p
③ [카드결제] 우리은행 입출식 계좌로 우리카드(신용/체크) 결제실적 보유(월 10만원 이상, 가입기간의 1/2 이상) : 0.50%p
&#160;* 만기해지 시점까지 우리은행 상품서비스 안내동의(SMS 및 휴대폰 전화) 및 적금 자동이체 유지 필수","1) 상품가입 전 반드시 상품특약 및 설명서를 읽고 가입해주시기 바랍니다.
2) 적금담보대출 가산금리는 비대면 +1.0%, 대면 +1.2% 운영됩니다."
하나은행,4.50,0.50,1.00,1.00,100,"우대금리 최대 1.00%p
(① 급여 (가맹점대금) 이체 [36회차 이상] : 0.60%, ② 마케팅동의 : 0.10%, ③ 카드 결제실적 [월10만원이상, 36회차 이상] : 0.20%, ④ 목돈마련응원 : 0.10%)",2023-10-31,"1개월 이내 : 지급 당시 해당기간별 정기적금 기본금리 1/2
1개월 초과 : 지급 당시 해당기간별 정기적금 기본금리 1/4","① 급여(가맹점대금)이체 : 0.60%
 이 예금 가입후 만기 전전월말 기준, 36회차 이상 급여 입금 또는 가맹점(결제)대금 입금실적을 보유한 경우 
② 마케팅동의 : 0.10%
 이 예금 가입전 하나은행 상품, 서비스 마케팅 동의 항목 모두를 동의한 경우
③ 카드결제 : 0.20%
 이 예금 가입후 만기 전전월말 기준, 월 합산 10만원 이상의 하나카드 결제 실적(신용/체크)을 보유한 경우
④ 목돈마련 응원 : 0.10%
 이 예금 가입일로부터 직전1년간 적금 또는 예금을 미보유한 경우
(단,청년희망적금, 청년내일저축계좌, 주택청약종합저축, 청년도약계좌 예외)",
IBK기업은행,4.50,0.50,0.60,0.60,100,"우대금리 최대 1.00%p
(① 급여이체 0.50%p, ② 마케팅동의 0.10%p, ③ 지로/공과금 0.20%p, ④ 카드이용 0.20%p, ⑤ 최초고객 0.30%p)",2023-10-31,"만기일 당시 영업점 및 인터넷 홈페이지에 고시한 정기적금의 만기후금리를 따름
-만기 후 1개월 이내 : 만기일 당시 계약기간별 고시금리 × 50%
-만기 후 1개월 초과 6개월 이내 : 만기일 당시 계약기간별 고시금리 × 30%
-만기 후 6개월 초과 : 만기일 당시 계약기간별 고시금리 × 20%","① 급여이체 : 당행 급여이체 실적(월 50 만원 이상) 36개월 이상인 경우
② 마케팅동의 : 가입시점 상품서비스 마케팅 문자수신 동의 상태인 경우
   -기존 미동의 고객이 계좌 신규 당일에 동의한 경우 포함
③ 지로/공과금 : 지로/공과금 자동이체 실적(월 2건 이상) 36개월 이상인 경우
④ 카드이용 : 당행 신용(체크)카드 이용실적 연평균 200만원 이상 및 만기시점까지 보유한 경우
⑤ 최초고객 : 가입시점 최초신규고객에 해당하는 경우(아래 2가지 요건 중 1가지 이상 충족 시)
   -실명등록일로부터 3개월 이내
   -가입일 직전월 기준 6개월간 총수신평잔 ‘0’원",자세한 내용은 특약 및 상품설명서를 참조하시기 바랍니다.
KB국민은행,4.50,0.50,1.25,1.75,95,"우대금리 최대 1.00%p
(① 급여이체 0.60%p, ② 자동이체 0.30%p, ③ 거래감사 0.10%p)",2023-10-31,"-만기 후 1개월 이내: 기본이율 x 50%

-만기후 1개월 초과 ~ 3개월 이내 : 기본이율 x 30%

-만기후 3개월 초과: 0.1%p","① 이 적금의 신규일이 포함된 달부터 만기 전전월 말까지 급여 입금 월수가 36회 이상인 경우
② 이 적금의 신규일이 포함된 달부터 만기 전전월 말까지 본인 명의 KB국민은행 입출금통장에서 아래 1) 또는 2)의 자동이체 출금이 발생한 경우
 1) 월 2건 이상의 공과금 자동이체 월수 36회 이상
 2) 청년도약 LTE 요금제의 자동이체 출금 월수 36회 이상
③ 계약기간 중 주택청약종합저축 신규 가입 고객 또는 가입일 기준 KB청년희망적금 만기 해지 고객",-상품 가입 전 반드시 상품 특약 및 설명서를 읽어보시기 바랍니다.
iM뱅크(구 대구은행),4.00,0.50,1.00,-,95,"우대금리 최대 1.50%p
(① 마케팅동의 0.30%p, ② 주택청약 보유 0.50%p, ③ 대구은행 계좌를 통해 자동이체로 30회 이상 입금 0.70%p)",2023-10-31,"만기 후 1개월 미만 경과 : 약정이자율 * 50%, 만기 후 3개월 미만 경과 : 약정이자율 * 25%, 만기후 3개월 이상 경과 : 약정이자율 * 10%","① (신규가입일) 마케팅동의 0.30%p
② (가입 시점) 주택청약 보유 0.50%p
③ (만기일) 대구은행 계좌를 통해 자동이체로 30회 이상 입금 0.70%p","DGB청년도약계좌는 나이·개인소득·가구소득 요건을 충족한 국민인 개인(외국인 및 재외국민 제외)이 가입 가능합니다.
계약을 체결하기 전 반드시 상품설명서와 약관을 읽어보시기 바랍니다."
BNK부산은행,4.00,0.50,1.00,1.50,95,"우대금리 최대 연1.50%p
(① 급여이체 : 0.50%p, ② 카드실적 : 0.50%p, ③ 신규고객 : 0.50%p)",2023-10-31,만기 후 1년이내 : 지급일 당시 가입기간별 일반정기적금 기본이율의 1/2 만기 후 1년초과 : 지급일 당시 가입기간별 일반정기적금 기본이율의 1/5,"① 급여이체(가입기간 中 30개월이상 급여실적 보유 고객) : 0.50%p
② 카드실적(가입기간 中 당행 BC카드(신용,체크) 실적 5백만원이상 보유 고객) : 0.50%p)
③ 신규고객(가입직전 3년간 부산은행 예*적금 가입이력 없는고객) : 0.50%p","● 우대금리 中 
1. 신규고객 우대조건은 최종 상품 가입 전 적용여부가 판단됩니다. 
2. 급여 및 카드실적 우대금리는 만기 해지 시 적용되며, 세부인정기준은 추후 상품설명서 등 참고 바랍니다. 
● 적금담보대출 가산금리는 일반대출 +1.00%, 한도대출 +1.50%로 운영됩니다."
광주은행,3.80,0.50,1.20,1.20,95,"우대금리 최대 1.70%p
(① 급여이체 0.50%p, ② 카드사용 우대금리 0.50%p, ③ 첫 거래 우대금리 0.50%p, ④ 만기축하 우대금리 0.20%p)",2023-10-31,"▷ 만기후 1개월 이내 : 만기일 당시 최초가입별 고시금리의 1/2 
▷ 만기후 1개월 초과 : 0.10%","① 급여이체(0.50%p) : (적금 가입일~만기 전전월말)본인 명의 당행 입출금이 자유로운 계좌로 급여이체 입금실적 월 50만원 이상 30회이상인 경우
② 카드사용 우대금리(0.50%p) : (적금 가입일~만기 전월말)본인 명의 당행 신용(체크)카드 이용액(매입기준) 5백만원 이상인 경우
③ 첫 거래 우대금리(0.50%p) : 이 예금 가입일 전일자 기준 최근 1년동안 본인 명의 당행 예적금 계좌를 보유하고 있지 않거나, 신규 또는 해지거래(신규취소제외)이력이 없는 경우 
④ 만기축하 우대금리(0.20%p) : 만기해지시 해지원금 3천만원 이상인 경우","○상품 관련 상세 안내는 추후 상품 가입 시 확인 가능합니다.
○적금담보대출 가산금리는 비대면 +1.20%,  대면 +1.30%로 운영됩니다."
전북은행,3.80,0.50,1.20,1.70,90,"우대금리 최대 1.70%p
(① 급여이체 0.70%p, ② 마케팅 동의 0.20%p, ③ 적금 자동이체 0.30%p, ④ 카드실적 0.50%p)",2023-10-31,"만기 후 1개월 이내 경과분 :만기일 현재 계약기간별 정기적금(자유적립식) 실행이율의 1/2
만기 후 1개월 초과 경과분 : 연 0.10%","① 급여이체 : 가입월부터 만기 전전월까지 급여이체 입금실적이 총 계약기간의 1/2 이상인 경우 (월 1회 인정)
② 마케팅 동의 : 신규시 마케팅동의한 경우
③ 적금 자동이체 : 가입월부터 만기 전전월까지 당행 요구불통장를 통한 계좌간 자동이체로 입금 실적이 총 계약기간의 1/2 이상인 경우 (월 1회 인정)
④ 카드실적 : 가입월부터 만기 전전월까지 당행 신용(체크)카드 사용실적이 총 계약기간의 1/2 이상인 경우 (월 1회 인정)",
